<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.01	176427	180835	175564	175785	48882038	190292952	1
2021.05.01	176885	186541	174102	186246	82106146	324994655	1
2021.06.01	186925	193953	185847	186191	88307179	384776110	1
2021.07.01	186851	190817	178589	179380	90839446	400995970	1
2021.08.01	181367	182995	166873	173231	112497896	446350069	1
2021.09.01	173522	175288	156664	160864	121587246	428629765	1
2021.10.01	161387	166778	148960	150526	120351129	427312275	1
2021.11.01	151359	157100	144261	147379	126621266	412024441	1
2021.12.01	148320	157531	144850	149822	110550699	382278613	1
2022.01.01	150572	160740	143757	159112	123834319	435712946	1
2022.02.01	159268	163982	153886	159759	100914167	326092401	1
2022.03.01	161158	169736	151817	168478	103838028	343909648	1
2022.04.01	168918	171016	149018	149808	85678624	277719737	1
2022.05.01	149424	156241	142112	153657	118367135	358964176	1
2022.06.01	154172	155595	133410	133713	112688721	348381338	1
2022.07.01	133625	140923	129478	139449	98920799	314627701	1
2022.08.01	139806	153938	137476	147665	108932523	342774784	1
2022.09.01	147070	152550	140831	146608	119370601	363096189	1
2022.10.01	151175	159588	146173	152591	106895945	341917109	1
2022.11.01	153456	158003	140216	146887	118477886	335615481	1
2022.12.01	146173	148382	131705	141110	111506036	325054813	1
2023.01.01	140303	146892	133402	144853	109283889	326748627	1
2023.02.01	144700	145018	132287	132318	90001787	280910307	1
2023.03.01	133088	135140	121688	127501	110155454	361568529	1
2023.04.01	127932	135661	125198	129239	76509508	257289052	1
2023.05.01	129147	138203	125641	133605	94080644	329266729	1
2023.06.01	134507	148008	133494	143949	90810799	303017458	1
2023.07.01	144533	149683	140973	147749	95854172	309390435	1
2023.08.01	147231	148363	137117	139054	110746465	374301649	1
2023.09.01	139833	142880	134619	138446	86891166	307241262	1
2023.10.01	138180	139001	131917	133377	107092256	382420580	1
2023.11.01	133214	148840	132853	148666	86239534	318710427	1
2023.12.01	148986	155639	146171	155353	72135666	263746554	1
2024.01.01	154667	154782	144753	146365	90247230	340752244	1
2024.02.01	146931	150154	144720	147007	73064816	283448037	1
2024.03.01	147198	147586	142545	144692	77730600	302722887	1
2024.04.01	144860	147659	138484	141099	104227959	400682342	1
2024.05.01	142013	145713	135409	135969	91938636	350544127	1
2024.06.01	136124	137488	131116	136539	96440142	352487348	1
2024.07.01	136921	142366	136327	139652	92119866	344923253	1
2024.08.01	139515	149583	134228	148081	87542172	329738506	1
2024.09.01	147250	148891	140384	142342	84136295	306513905	1
2024.10.01	142095	145351	137525	138273	97024361	357179311	1
2024.11.01	138616	139881	131172	132870	84172746	304836114	1
2024.12.01	133181	138431	125958	126285	80101540	269450047	1
2025.01.01	126462	132925	123622	131612	82204754	275453211	1
2025.02.01	130537	134389	126603	127168	72622244	241200414	1
2025.03.01	127514	137140	126002	133391	76038368	250030916	1
2025.04.01	133564	138465	124835	136800	104804474	315539328	1
2025.05.01	137240	141740	134675	138020	85033919	279249591	1
2025.06.01	138110	142471	134520	141115	89362834	263718497	1
2025.07.01	140900	143825	132335	133635	88343796	318315182	0
2025.08.01	132905	144775	132505	144095	91129980	304386909	1
2025.09.01	143905	149095	141550	147135	99202321	329489643	1
2025.10.01	147205	152245	140055	152225	110308357	366172863	1
2025.11.01	152225	160840	151750	160100	92645246	310871422	1
2025.12.01	160000	165785	155630	163770	107347913	352552454	1
2026.01.01	163970	188780	162530	182695	114761569	370087905	1
