<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.11	176427	179956	176427	179572	11291639	45351869	1
2021.04.18	179395	180835	176612	178982	17088820	65032336	1
2021.04.25	179336	180207	175564	175785	20501579	79908747	1
2021.05.02	176885	181174	174102	180731	20307290	79232796	1
2021.05.09	180569	181979	176664	179927	21934885	85495731	1
2021.05.16	179299	182850	179151	181248	19754013	76025357	1
2021.05.23	181536	185862	181167	185323	17246425	72887621	1
2021.05.30	185323	192359	185139	192063	13747725	58376424	1
2021.06.06	192204	193953	189937	191296	21438845	94195154	1
2021.06.13	191591	193643	188046	188427	22566517	98627726	1
2021.06.20	189138	191558	186558	187892	20566874	87658899	1
2021.06.27	187745	188801	183992	188295	21630110	96163290	1
2021.07.04	187679	188024	182877	184307	17657581	74216874	1
2021.07.11	185553	190817	184981	185414	22213898	99157279	1
2021.07.18	182914	186132	181316	183259	22173064	95919844	1
2021.07.25	183442	186426	178589	179380	20015544	92809740	1
2021.08.01	181367	182995	177174	180451	26462671	102013562	1
2021.08.08	179615	181506	175861	177702	24615239	96141092	1
2021.08.15	176756	177064	166873	172846	28527504	114405605	1
2021.08.22	173376	176704	171117	175629	23329210	94924496	1
2021.08.29	176021	176138	168704	169823	25695374	101474104	1
2021.09.05	170325	172337	163952	166662	23485844	84198149	1
2021.09.12	167999	171102	161612	161612	28455020	94605522	1
2021.09.19	158706	166604	156664	165311	29621942	100295514	1
2021.09.26	165790	167295	159832	164395	29175446	106434733	1
2021.10.03	163204	166379	157129	164221	29569973	108893113	1
2021.10.10	164511	166606	162590	166060	18943223	71977549	1
2021.10.17	165341	166778	148960	153759	33627331	117608784	1
2021.10.24	155060	158559	149606	150526	32927494	109319886	1
2021.10.31	151359	154672	148758	151259	25859745	83804182	1
2021.11.07	150670	157100	149937	153673	31513293	99879850	1
2021.11.14	154061	154664	147314	148873	25176809	81149600	1
2021.11.21	149894	153580	146244	147091	30501331	99699700	1
2021.11.28	148895	153946	144261	151819	34777701	119646732	1
2021.12.05	152552	156612	152020	155211	28245404	96520055	1
2021.12.12	155987	157531	151675	153544	27601019	96321280	1
2021.12.19	151711	152249	149446	149446	18088877	64048108	1
