<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	360980.55	361661.26	352925.49	353606.20	84576	105545	1
2024.07.11	362273.90	366131.26	354286.91	355784.47	91008	109321	1
2024.07.12	354286.91	362931.92	353084.32	357463.55	88868	108272	1
2024.07.15	379359.73	396967.43	379359.73	396604.38	86786	109765	1
2024.07.16	395379.10	404750.21	389502.31	398986.87	112245	142798	1
2024.07.17	400007.93	407404.98	399009.56	402957.68	91497	113048	1
2024.07.18	404455.24	411103.51	399486.05	403502.24	94407	118186	1
2024.07.19	400484.43	431865.16	400484.43	429278.47	69530	88280	1
2024.07.22	430549.12	432455.11	420520.00	429528.06	100607	121421	1
2024.07.23	423015.93	426124.51	415255.84	417955.99	117779	143045	1
2024.07.24	422834.41	429165.01	421132.64	421904.11	101615	126588	1
2024.07.25	413554.06	419476.24	407609.20	418999.74	85668	107595	1
2024.07.26	431107.34	441972.56	428758.11	441023.83	56348	68597	1
2024.07.29	450985.49	453221.78	428780.70	432169.02	96435	127293	1
2024.07.30	427673.84	432214.19	418977.15	423246.44	93722	121329	1
2024.07.31	423133.49	431581.71	416063.20	418796.44	91013	113170	1
2024.08.01	417802.54	425595.67	405830.47	424059.63	95761	122360	1
2024.08.02	424556.59	428374.10	402284.03	402284.03	100933	128810	1
2024.08.05	347302.88	362731.03	326408.23	356157.69	123364	174868	1
2024.08.06	359523.42	367068.08	350487.90	361872.65	107579	142319	1
2024.08.07	366028.99	367836.10	349561.76	351707.69	107646	142507	1
2024.08.08	366277.47	381615.27	363205.39	375742.18	103401	137627	1
2024.08.09	381073.14	383196.49	372082.79	377639.64	103149	135949	1
2024.08.12	374206.14	378136.59	361059.46	365757.93	113644	154071	1
2024.08.13	366797.01	382428.47	365012.50	377323.40	101592	137373	1
2024.08.14	378430.25	381795.98	363340.93	364786.61	101945	136283	1
2024.08.15	364176.71	371382.54	348997.04	353989.16	119592	158643	1
2024.08.16	363227.98	371585.84	356135.10	367293.97	99063	133352	1
2024.08.19	363905.65	364199.30	357354.89	362279.25	84036	116818	1
2024.08.20	372331.27	376306.90	363205.39	366390.42	89135	120082	1
2024.08.21	368287.88	384009.68	364402.60	381050.55	102782	137580	1
2024.08.22	380892.43	384506.64	378610.96	384280.75	83831	112100	1
2024.08.23	383874.15	403390.88	378836.85	398850.53	98378	126277	1
2024.08.26	396004.34	398669.82	390583.03	391305.87	85491	128079	1
2024.08.27	387081.76	388821.10	381027.96	381773.39	73632	109955	1
2024.08.28	374296.50	376623.14	362911.74	372489.39	97867	148150	1
2024.08.29	377571.87	389950.54	374206.14	378091.42	98888	149101	1
2024.08.30	375842.88	384027.55	368017.97	374741.10	65093	100386	1
2024.09.02	372200.25	377259.46	370558.82	376989.63	65574	94324	1
2024.09.03	376629.87	377416.86	367006.13	371278.35	83713	126153	1
2024.09.04	361856.98	373931.62	357944.53	370806.16	93312	141872	1
2024.09.05	361856.98	366511.45	351626.14	353042.72	94232	143336	1
2024.09.06	352930.29	357787.13	332266.24	336403.55	119081	184022	1
2024.09.09	346252.14	366444.00	345352.73	364262.92	107286	178234	1
2024.09.10	361924.44	371053.50	358304.30	368939.87	100347	144523	1
2024.09.11	362014.38	370131.60	354032.08	366623.88	100622	145539	1
2024.09.12	370941.07	375055.89	366241.63	367883.06	90184	125223	1
2024.09.13	366533.94	379463.02	363363.50	377686.68	74779	107142	1
2024.09.16	368265.31	369097.27	357180.03	358529.15	69605	100302	1
2024.09.17	366871.22	381014.51	364690.14	372222.74	89150	130246	1
2024.09.18	369906.74	374786.07	365162.33	370761.19	85909	125666	1
2024.09.19	382723.40	390773.16	381396.77	384589.69	77862	114167	1
2024.09.20	388434.69	393493.89	385691.47	392661.93	73908	105391	1
2024.09.23	395090.35	399722.34	393044.18	394865.50	65664	94821	1
2024.09.24	394056.03	397451.32	384994.42	393358.98	76383	110405	1
2024.09.25	392257.20	395225.27	388029.95	390413.40	61787	87647	1
2024.09.26	395292.72	402825.32	391560.15	396529.42	78731	112181	1
2024.09.27	398556.62	407266.90	397643.26	397643.26	42823	61231	1
2024.09.30	389289.41	393722.52	386081.54	390536.92	53651	76061	1
2024.10.01	391428.00	391428.00	367591.68	368660.97	98118	142493	1
2024.10.02	370977.78	380467.75	366210.51	371022.33	95028	130712	1
2024.10.03	370710.45	375232.67	366834.27	374252.48	83422	119954	1
2024.10.04	376569.29	383742.46	371980.24	382071.69	81476	115110	1
2024.10.07	385881.04	393900.74	382183.07	388799.32	74368	107073	1
2024.10.08	385970.15	390113.66	382494.95	386950.34	88098	124535	1
2024.10.09	385613.72	389668.12	376591.56	379509.84	75841	110526	1
2024.10.10	381960.30	383051.87	367034.76	372960.42	86876	119901	1
2024.10.11	380222.70	399135.82	380089.04	395304.19	79016	124263	1
2024.10.14	406999.58	415709.86	405551.58	411098.53	75494	113779	1
2024.10.15	408781.73	429098.29	407846.10	420053.86	112606	166127	1
2024.10.16	429677.50	433442.30	426202.29	427650.29	96847	138888	1
2024.10.17	423818.66	429231.96	420521.68	420967.21	88120	130149	1
2024.10.18	426068.63	438721.93	425355.77	436004.14	83527	119457	1
2024.10.21	434467.04	436471.96	424754.29	430212.14	81854	117846	1
2024.10.22	427071.09	429521.56	422526.60	427806.23	82456	119418	1
2024.10.23	422615.71	426358.23	414395.52	421123.15	94927	135015	1
2024.10.24	425489.43	434311.10	425378.05	433063.59	84159	123364	1
2024.10.25	431085.12	435173.95	418291.06	425523.44	82500	116532	1
2024.10.28	434756.27	447506.37	434404.55	446341.27	102673	146731	1
2024.10.29	453507.71	472852.68	451419.33	465114.69	130075	196602	1
2024.10.30	462520.70	468324.20	459838.79	464411.24	90128	129969	1
2024.10.31	463751.75	464499.17	447748.18	450891.74	102730	155614	1
2024.11.01	450891.74	463246.14	446802.91	448979.22	118039	166150	1
2024.11.04	446407.22	446407.22	429612.27	432909.71	106228	157183	1
2024.11.05	440603.73	452848.22	437658.02	442758.06	127861	191850	1
2024.11.06	481426.02	486877.78	469665.15	481404.04	145530	232250	1
2024.11.07	471665.60	486152.35	466433.66	482569.13	142755	209678	1
2024.11.08	483272.58	493362.75	483206.63	487757.10	113595	161279	1
2024.11.11	527106.53	566258.12	523523.32	566236.14	198863	288332	1
2024.11.12	560278.76	574611.63	545572.19	566302.08	224589	347723	1
2024.11.13	557157.19	601408.81	556431.75	570478.84	256607	399194	1
2024.11.14	587273.79	591868.22	556585.63	563598.19	187105	293160	1
2024.11.18	575688.79	588790.62	569401.68	584152.22	170677	263174	1
2024.11.19	584394.03	600969.15	580085.38	589054.41	163512	255506	1
2024.11.21	625194.34	636823.30	612795.97	629239.19	175475	268528	1
2024.11.22	636889.25	639373.32	624534.85	633108.19	143054	214351	1
2024.11.25	627788.32	629151.26	602815.72	604728.23	167475	258408	1
2024.11.26	590988.91	606420.92	580019.43	585647.06	185707	295653	1
2024.11.27	595825.15	634581.04	593890.65	632624.56	178093	276014	1
2024.11.28	620621.89	633877.59	620621.89	629788.77	93772	137837	1
2024.11.29	641048.12	655181.73	637525.52	639924.34	113371	176625	1
2024.12.02	624558.90	649670.92	623867.34	635666.97	149877	234326	1
2024.12.03	629551.05	639729.84	620863.41	634348.69	156063	246033	1
2024.12.04	637287.80	655613.95	623759.29	652999.02	173611	269382	1
2024.12.05	678845.81	680790.81	641458.73	651032.41	203211	320927	1
2024.12.06	644830.05	678240.71	637698.41	673961.72	171393	267208	1
2024.12.09	649649.31	662637.54	624126.68	640918.45	176254	266676	1
2024.12.10	646537.32	647055.98	621922.35	637741.63	205060	314023	1
2024.12.11	648222.98	664063.87	644851.66	655008.84	165698	245548	1
2024.12.12	645067.77	669488.24	641912.56	649757.36	158312	249250	1
2024.12.13	655635.56	670763.29	651875.24	665835.97	145594	219490	1
2024.12.16	683405.74	713596.36	677765.26	708993.21	186613	289064	1
2024.12.17	712472.58	728745.69	702531.51	707566.88	177086	269516	1
2024.12.18	697020.69	707696.55	682692.58	689197.50	186656	294775	1
2024.12.19	692849.77	697820.30	633873.25	650319.25	198882	303139	1
2024.12.20	613753.38	644419.44	605108.97	634932.19	174755	264420	1
2024.12.23	635926.30	642236.72	618831.97	630156.15	159174	259876	1
2024.12.26	637222.96	643987.22	634327.08	639016.68	146167	242408	1
2024.12.27	648595.86	650596.85	623455.83	632992.44	107382	166849	1
2024.12.30	628713.74	632183.53	607426.66	623753.85	135509	212446	1
2025.01.02	645040.92	653023.57	640506.77	644083.00	136132	216989	1
2025.01.03	639974.60	660005.73	638122.62	655620.60	145369	217439	1
2025.01.06	658643.36	676205.20	650639.42	673501.74	145155	229864	1
2025.01.07	664880.47	665774.53	629948.39	634631.54	176162	281992	1
2025.01.08	624498.89	631715.21	607937.55	615856.34	171505	263793	1
2025.01.09	609959.82	614813.28	590205.42	596825.70	178573	271782	1
2025.01.10	615196.44	628415.72	603509.84	621923.16	186587	288179	1
2025.01.13	595931.64	614068.23	584926.22	612918.73	195309	303878	1
2025.01.14	631161.75	632460.26	618006.34	626585.03	140058	215560	1
2025.01.15	626712.75	650511.70	624222.16	642592.91	136778	219348	1
2025.01.16	638697.37	652448.82	626308.30	647276.06	154363	239980	1
2025.01.17	661602.26	688977.44	660857.22	683464.09	158940	251067	1
2025.01.20	704921.46	706390.27	650149.82	667754.23	176508	270246	1
2025.01.21	673310.16	691829.91	663220.08	683996.27	168432	263329	1
2025.01.22	675928.47	678887.37	653449.32	659090.39	141656	222080	1
2025.01.23	647574.08	675375.00	643018.65	649106.75	200072	357621	1
2025.01.24	665242.35	675460.15	657642.87	663518.10	150873	254501	1
2025.01.27	629650.37	645764.68	621944.45	638484.50	215434	325113	1
2025.01.28	648148.83	649851.80	630523.14	631736.50	157413	236562	1
2025.01.29	640591.92	655109.71	633503.33	649149.33	163714	256031	1
2025.01.30	656748.81	668882.44	655684.46	657664.16	121078	192757	1
2025.01.31	652905.92	658544.54	626662.24	626892.81	117307	192404	1
2025.02.03	593103.02	629366.26	586374.41	622931.11	156447	262885	1
2025.02.04	607859.85	617984.21	590273.23	590608.62	165116	267028	1
2025.02.05	599412.41	608845.04	590315.16	596016.66	134689	220265	1
2025.02.06	607147.17	609767.34	582391.74	587317.68	157405	257294	1
2025.02.07	595555.51	609746.38	586080.95	586101.91	163796	256675	1
2025.02.10	599433.37	600984.51	590147.47	594234.94	114785	175314	1
2025.02.11	600502.40	600816.82	575726.02	580714.83	139065	218277	1
2025.02.12	584487.89	593501.29	571932.00	591992.07	163373	262822	1
2025.02.13	584068.66	586919.41	577381.97	585452.11	135039	216829	1
2025.02.14	586961.33	596289.16	578891.19	583125.39	127498	201500	1
2025.02.17	578241.39	581888.67	571135.47	576082.36	109615	165203	1
2025.02.18	573986.22	581511.37	557699.21	568284.72	136046	213308	1
2025.02.19	576438.71	580568.10	571135.47	580232.72	110560	183962	1
2025.02.20	583020.59	592264.57	579436.19	588743.05	114118	184808	1
2025.02.21	592453.22	597819.34	568787.79	570150.28	147772	231628	1
2025.02.24	575222.94	577717.35	563463.59	570359.90	133253	217468	1
2025.02.25	541831.42	544304.87	519046.37	530721.88	189781	309561	1
2025.02.26	533677.43	536884.53	500642.26	513302.95	180405	289585	1
2025.02.27	528248.43	529191.69	505023.19	515126.59	163396	245128	1
2025.02.28	495378.85	529006.18	491945.37	521306.86	159365	251528	1
2025.03.05	541824.52	551001.29	532710.18	543947.04	109049	172614	1
2025.03.06	551563.13	552437.11	530754.14	540721.65	184862	288046	1
2025.03.07	536996.84	552374.68	519371.62	527216.61	207436	325091	1
2025.03.10	507864.25	508446.90	475131.70	486784.74	226800	348439	1
2025.03.11	497917.55	508779.84	482685.37	506053.87	199702	307133	1
2025.03.12	505325.55	515043.35	491029.77	505263.12	186659	282951	1
2025.03.13	505096.65	509528.97	484932.74	487450.63	174408	266857	1
2025.03.14	501496.70	511235.31	495732.61	507323.21	156252	240528	1
2025.03.17	502641.19	502932.52	491716.47	499124.47	141356	221123	1
2025.03.18	491425.15	492736.11	479876.15	485536.20	145023	221477	1
2025.03.19	496481.73	507156.74	493776.56	506157.91	143656	220329	1
2025.03.20	504867.75	512317.37	494109.51	498208.88	149608	225160	1
2025.03.21	497584.61	505492.02	495399.66	504597.24	126527	193467	1
2025.03.24	521951.94	531253.56	520079.13	530587.67	129994	203205	1
2025.03.25	523866.36	526425.87	518060.65	522076.79	144640	219849	1
2025.03.26	523637.46	525010.86	511963.62	520849.06	139460	222488	1
2025.03.27	517935.80	524116.07	516062.99	523034.00	124903	195664	1
2025.03.28	510059.93	512218.85	495482.09	498401.77	102948	164711	1
2025.03.31	492850.27	498977.48	485921.17	485962.29	152900	240964	1
2025.04.01	496654.08	505125.26	488121.21	502185.02	140706	217434	1
2025.04.02	497784.94	522047.07	494515.72	496612.95	187026	296188	1
2025.04.03	485078.16	485201.53	470890.98	480986.50	145836	223518	1
2025.04.04	485962.29	511355.28	485962.29	511314.16	179986	281843	1
2025.04.07	467498.40	489663.29	462399.24	483289.34	227873	396670	1
2025.04.08	486866.98	489951.15	472556.43	477059.32	171991	274701	1
2025.04.09	472618.12	503891.59	472618.12	500190.59	180536	286937	1
2025.04.10	494145.62	498710.19	480595.83	484029.54	151516	242436	1
2025.04.11	493405.42	512568.39	492459.61	509443.10	139319	216649	1
2025.04.14	512568.39	517688.11	506256.12	512342.22	117384	193160	1
2025.04.15	516269.39	523753.64	505351.43	506482.30	109063	175560	1
2025.04.16	507510.35	517132.96	504652.36	512650.63	119823	200237	1
2025.04.17	512342.22	514542.26	506564.54	509114.12	94576	154691	1
2025.04.22	528976.17	542978.30	527763.06	539236.18	119738	187130	1
2025.04.23	549640.11	553814.02	540593.21	550873.77	121885	184684	1
2025.04.24	544561.51	548468.12	541024.99	545260.59	92562	138362	1
2025.04.25	555553.12	562820.82	552711.00	556223.04	86148	139472	1
2025.04.28	559288.47	560709.53	544651.56	545037.27	96920	153780	1
2025.04.29	553015.51	555837.33	541606.43	546032.02	85761	139372	1
2025.04.30	550965.12	558273.43	541951.55	555329.81	101236	162892	1
2025.05.02	565033.61	568565.96	560039.60	564383.99	95444	154384	1
2025.05.05	546478.64	553868.15	542073.35	553015.51	95785	155946	1
2025.05.06	546986.16	557258.39	546986.16	555492.21	103290	160817	1
2025.05.07	567449.42	573620.87	564708.80	571448.68	118980	184952	1
2025.05.08	582796.86	605452.61	577762.25	600275.89	133508	209405	1
2025.05.09	598733.03	601575.15	591932.24	595830.01	124425	197681	1
2025.05.12	601575.15	607543.60	586593.12	595099.18	202478	308704	1
2025.05.13	600844.32	602772.90	592602.17	600377.40	179286	304727	1
2025.05.14	596784.15	598753.33	589739.75	597433.77	161410	271774	1
2025.05.15	590450.28	604863.89	584278.82	601636.05	193546	338108	1
2025.05.16	600884.92	606772.17	597352.57	599910.48	157335	274195	1
2025.05.19	595809.71	610527.82	593028.49	607381.19	169169	296991	1
2025.05.20	605249.60	620921.86	601859.36	616333.87	174219	302254	1
2025.05.21	616354.17	633853.50	612151.89	622160.21	255482	432286	1
2025.05.22	638218.19	652936.30	635152.76	650906.22	170344	314203	1
2025.05.23	635599.38	638725.71	619785.01	623906.08	165364	304731	1
2025.05.26	631356.50	637243.74	628311.37	630625.67	109016	155350	1
2025.05.27	631884.32	638319.69	624616.61	625124.14	150844	243127	1
2025.05.28	626443.69	629468.52	617714.32	619988.02	154245	247207	1
2025.05.29	628088.06	629529.42	606548.86	610000.00	171659	274588	1
2025.05.30	608200.00	612740.00	599220.00	608080.00	196078	330608	1
2025.06.02	600320.00	603500.00	595220.00	602220.00	184434	314316	1
2025.06.03	604740.00	610840.00	600440.00	601560.00	200993	341854	1
2025.06.04	599000.00	601480.00	592300.00	595240.00	157061	267729	1
2025.06.05	596840.00	600800.00	564340.00	568500.00	228553	400662	1
2025.06.06	586500.00	597400.00	584420.00	586640.00	184713	320897	1
2025.06.09	605900.00	619560.00	601800.00	619560.00	183806	318297	1
2025.06.10	613620.00	619960.00	607020.00	613480.00	183366	315897	1
2025.06.11	611240.00	616540.00	605300.00	606840.00	174552	301329	1
2025.06.12	596000.00	605400.00	589680.00	592500.00	175214	300315	1
2025.06.13	588520.00	591920.00	581240.00	588320.00	176695	301817	1
2025.06.16	595180.00	601620.00	589840.00	599940.00	114325	483256	1
2025.06.17	584100.00	584980.00	569220.00	576280.00	191555	1338978	1
2025.06.18	578880.00	580180.00	571420.00	576200.00	242886	1466517	1
2025.06.20	583460.00	584860.00	565500.00	571940.00	219459	1674380	1
2025.06.23	561520.00	575340.00	551960.00	572920.00	265477	1835581	1
2025.06.24	578380.00	586700.00	577000.00	586160.00	156284	896439	1
2025.06.25	591040.00	602400.00	591040.00	599260.00	161740	1056290	1
2025.06.26	603386.51	607013.44	586690.50	596700.00	138536	761236	1
2025.06.27	595000.00	604080.00	591020.00	595460.00	124699	802687	1
2025.06.30	598560.00	601040.00	588320.00	589120.00	128953	706997	1
2025.07.01	585000.00	591060.00	580500.00	583500.00	119279	745502	1
2025.07.02	592780.00	603160.00	591920.00	601180.00	130034	823825	1
2025.07.03	602060.00	605460.00	597620.00	601260.00	113816	853905	1
2025.07.04	596660.00	597220.00	585420.00	589220.00	81010	494425	1
2025.07.07	593580.00	599580.00	593400.00	597640.00	114758	673566	1
2025.07.08	601380.00	601500.00	594860.00	597420.00	89934	455594	1
2025.07.09	600300.00	628300.00	597260.00	625740.00	154161	766834	1
2025.07.10	628620.00	656300.00	615780.00	646000.00	91867	798135	0
2025.07.11	659120.00	665200.00	654120.00	660060.00	80505	581078	0
2025.07.14	680000.00	683340.00	666640.00	674480.00	88648	604380	0
2025.07.15	657140.00	663100.00	646720.00	653420.00	101423	829016	0
2025.07.16	664420.00	673000.00	659740.00	671780.00	138801	716386	1
2025.07.17	662860.00	674420.00	658720.00	673020.00	120548	600135	1
2025.07.18	666660.00	667980.00	652940.00	657480.00	119436	540428	1
2025.07.21	658720.00	668160.00	650960.00	653360.00	115313	615496	1
2025.07.22	664080.00	671640.00	658920.00	667520.00	116819	631410	1
2025.07.23	661620.00	664160.00	649520.00	650460.00	110516	592039	1
2025.07.24	668313.99	674441.95	665585.93	667520.00	102891	602100	1
2025.07.25	657320.00	670540.00	648780.00	666640.00	93691	490459	1
2025.07.28	674340.00	678460.00	666340.00	667240.00	97222	434127	1
2025.07.29	673600.00	677720.00	660720.00	663320.00	103897	589457	1
2025.07.30	664520.00	676120.00	654580.00	660260.00	109179	696526	1
2025.07.31	667740.00	676780.00	660200.00	662160.00	110818	662601	1
2025.08.01	655020.00	656900.00	632500.00	636080.00	156526	1158964	1
2025.08.04	639360.00	646060.00	632020.00	639040.00	105096	544236	1
2025.08.05	641840.00	642640.00	626860.00	633680.00	120672	673909	1
2025.08.06	636160.00	640120.00	628500.00	635620.00	99324	549607	1
