<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	08:00:00	360980.55	361661.26	353991.93	355285.28	39553	47912	1
2024.07.10	12:00:00	355330.66	357781.22	354060.00	355489.49	33299	42197	1
2024.07.10	16:00:00	355466.80	355602.95	352925.49	353606.20	11724	15436	1
2024.07.11	08:00:00	362273.90	366131.26	356124.82	357327.41	41520	49018	1
2024.07.11	12:00:00	357350.10	359982.18	354286.91	358666.14	35006	42508	1
2024.07.11	16:00:00	358643.45	358847.66	354899.54	355784.47	14482	17795	1
2024.07.12	08:00:00	354286.91	361207.46	353084.32	360095.63	35756	41882	1
2024.07.12	12:00:00	360095.63	362931.92	359414.92	361252.84	31673	38798	1
2024.07.12	16:00:00	361252.84	361683.96	354241.52	357463.55	21439	27592	1
2024.07.15	08:00:00	379359.73	392678.95	379359.73	392565.50	28879	34955	1
2024.07.15	12:00:00	392610.88	396014.43	389683.83	393972.30	40241	51971	1
2024.07.15	16:00:00	393972.30	396967.43	392928.55	396604.38	17666	22839	1
2024.07.16	08:00:00	395379.10	397398.54	389502.31	393904.23	39279	46836	1
2024.07.16	12:00:00	393881.54	404750.21	393541.19	401074.38	51711	67471	1
2024.07.16	16:00:00	401006.31	403479.55	398986.87	398986.87	21255	28491	1
2024.07.17	08:00:00	400007.93	406157.01	399690.27	404682.14	37864	45145	1
2024.07.17	12:00:00	404682.14	407404.98	399009.56	403139.20	40613	51265	1
2024.07.17	16:00:00	403139.20	404455.24	401482.80	402957.68	13020	16638	1
2024.07.18	08:00:00	404455.24	411103.51	402390.42	403978.74	39407	47086	1
2024.07.18	12:00:00	403933.36	405362.85	399486.05	403003.06	38878	49744	1
2024.07.18	16:00:00	402957.68	405317.47	401460.11	403502.24	16122	21356	1
2024.07.19	08:00:00	400484.43	416322.28	400484.43	415618.88	18065	22487	1
2024.07.19	12:00:00	415664.26	426124.51	413327.16	425988.37	32179	40432	1
2024.07.19	16:00:00	425988.37	431865.16	425965.68	429278.47	19286	25361	1
2024.07.22	08:00:00	430549.12	430912.17	420565.38	421223.40	38047	43948	1
2024.07.22	12:00:00	421155.33	427803.59	420520.00	427327.10	39509	48508	1
2024.07.22	16:00:00	427304.41	432455.11	426669.08	429528.06	23051	28965	1
2024.07.23	08:00:00	423015.93	426124.51	418931.67	425443.80	47629	56512	1
2024.07.23	12:00:00	425443.80	425670.70	416730.71	418704.77	49949	61139	1
2024.07.23	16:00:00	418636.70	419907.36	415255.84	417955.99	20201	25394	1
2024.07.24	08:00:00	422834.41	429165.01	422131.01	426124.51	41067	49212	1
2024.07.24	12:00:00	426079.13	427304.41	421881.42	422698.27	43172	54852	1
2024.07.24	16:00:00	422766.34	424831.16	421132.64	421904.11	17376	22524	1
2024.07.25	08:00:00	413554.06	415709.64	407609.20	415437.36	36905	45897	1
2024.07.25	12:00:00	415460.05	417366.04	412306.09	413758.28	34228	43524	1
2024.07.25	16:00:00	413735.59	419476.24	412555.69	418999.74	14535	18174	1
2024.07.26	08:00:00	431107.34	440278.40	428758.11	436528.66	25674	31025	1
2024.07.26	12:00:00	436528.66	439194.13	435692.87	438652.00	18828	23036	1
2024.07.26	16:00:00	438652.00	441972.56	437432.21	441023.83	11846	14536	1
2024.07.29	08:00:00	450985.49	453221.78	440933.47	441927.38	36743	45594	1
2024.07.29	12:00:00	441904.79	442446.92	428780.70	434202.01	45348	62756	1
2024.07.29	16:00:00	434134.24	434586.02	430181.20	432169.02	14344	18943	1
2024.07.30	08:00:00	427673.84	432214.19	422839.84	423901.51	34604	43099	1
2024.07.30	12:00:00	423991.87	429571.30	421303.80	422704.31	39314	52165	1
2024.07.30	16:00:00	422681.72	425347.20	418977.15	423246.44	19804	26065	1
2024.07.31	08:00:00	423133.49	430994.40	422975.37	428758.11	32444	39260	1
2024.07.31	12:00:00	428848.46	431581.71	426386.28	427831.97	36201	45338	1
2024.07.31	16:00:00	427877.14	428622.57	416063.20	418796.44	22368	28572	1
2024.08.01	08:00:00	417802.54	420400.25	412629.70	413104.06	32506	40273	1
2024.08.01	12:00:00	413126.65	413533.25	405830.47	411387.32	45279	58905	1
2024.08.01	16:00:00	411342.14	425595.67	411116.25	424059.63	17976	23182	1
2024.08.02	08:00:00	424556.59	428374.10	412516.76	413171.83	44196	55288	1
2024.08.02	12:00:00	413171.83	415521.07	408405.59	409873.87	38780	49970	1
2024.08.02	16:00:00	409851.28	410664.47	402284.03	402284.03	17957	23552	1
2024.08.05	08:00:00	347302.88	358936.11	326408.23	355434.85	48180	68820	1
2024.08.05	12:00:00	355525.20	362731.03	346331.56	347189.93	46211	64996	1
2024.08.05	16:00:00	347212.52	359726.72	342694.76	356157.69	28973	41052	1
2024.08.06	08:00:00	359523.42	364583.31	350487.90	362008.19	47458	60858	1
2024.08.06	12:00:00	361917.83	367068.08	358665.04	365283.56	41820	56960	1
2024.08.06	16:00:00	365351.33	366480.77	361443.47	361872.65	18301	24501	1
