<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361661.26	359619.13	359664.52	2730	3238	1
2024.07.10	09:20:00	359709.90	359914.11	355239.90	356419.80	6017	7516	1
2024.07.10	09:40:00	356419.80	356918.98	354309.60	356828.22	4957	6023	1
2024.07.10	10:00:00	356828.22	357667.77	355602.95	356397.11	4689	5588	1
2024.07.10	10:20:00	356510.56	356896.29	354354.98	355965.99	5196	6122	1
2024.07.10	10:40:00	355943.30	356306.35	353991.93	355739.09	5399	6650	1
2024.07.10	11:00:00	355761.78	356487.87	353991.93	354740.71	4690	5613	1
2024.07.10	11:20:00	354831.47	356397.11	354718.02	355761.78	2950	3635	1
2024.07.10	11:40:00	355761.78	355807.16	354309.60	355285.28	2925	3527	1
2024.07.10	12:00:00	355330.66	356124.82	354060.00	355829.85	3486	4334	1
2024.07.10	12:20:00	355807.16	356714.77	355693.71	356283.66	2841	3667	1
2024.07.10	12:40:00	356238.27	357350.10	355285.28	355466.80	3912	4981	1
2024.07.10	13:00:00	355512.18	357213.96	355285.28	356351.73	2831	3475	1
2024.07.10	13:20:00	356419.80	357781.22	356238.27	356873.60	2551	3256	1
2024.07.10	13:40:00	356873.60	357055.13	355058.38	356669.39	3328	4585	1
2024.07.10	14:00:00	356669.39	356850.91	355330.66	355852.54	2648	3239	1
2024.07.10	14:20:00	355875.23	357032.44	355103.76	356828.22	2770	3536	1
2024.07.10	14:40:00	356828.22	356828.22	355557.56	355829.85	1793	2293	1
2024.07.10	15:00:00	355852.54	356669.39	355307.97	356102.13	2300	2801	1
2024.07.10	15:20:00	356056.75	356397.11	354536.50	355398.73	2830	3524	1
2024.07.10	15:40:00	355376.04	355625.64	354332.29	355489.49	2009	2506	1
2024.07.10	16:00:00	355466.80	355489.49	353787.72	354718.02	2487	3119	1
2024.07.10	16:20:00	354718.02	355262.59	354060.00	355149.14	1976	2637	1
2024.07.10	16:40:00	355126.45	355580.25	354468.43	354559.19	1837	2509	1
2024.07.10	17:00:00	354604.57	355602.95	354377.67	355035.69	1593	2187	1
2024.07.10	17:20:00	355103.76	355285.28	353447.36	353855.79	1766	2378	1
2024.07.10	17:40:00	353833.10	355149.14	353696.96	354718.02	1083	1490	1
2024.07.10	18:00:00	354718.02	355103.76	353107.01	353515.43	754	860	1
2024.07.10	18:20:00	353356.60	354332.29	352925.49	353606.20	228	256	1
2024.07.11	09:00:00	362273.90	363294.97	360935.17	361547.81	3778	4421	1
2024.07.11	09:20:00	361388.98	366131.26	361184.77	363612.63	4980	5801	1
2024.07.11	09:40:00	363680.70	364860.60	361661.26	362705.02	4649	5193	1
2024.07.11	10:00:00	362682.33	363158.83	359165.33	361593.19	4972	5728	1
2024.07.11	10:20:00	361570.50	364293.34	360935.17	362047.00	4639	5616	1
2024.07.11	10:40:00	362024.31	362024.31	359936.80	361502.43	4674	5548	1
2024.07.11	11:00:00	361525.12	361978.93	357236.65	357713.15	5066	6163	1
2024.07.11	11:20:00	357690.46	358530.00	356124.82	358325.79	4835	5792	1
2024.07.11	11:40:00	358348.48	359278.78	356306.35	357327.41	3927	4756	1
2024.07.11	12:00:00	357350.10	358779.59	357100.51	358711.52	2785	3253	1
2024.07.11	12:20:00	358643.45	359596.44	356283.66	356850.91	3887	4638	1
2024.07.11	12:40:00	356805.53	357123.20	354604.57	355421.42	4457	5304	1
2024.07.11	13:00:00	355421.42	356760.15	354286.91	356533.25	3347	3959	1
2024.07.11	13:20:00	356533.25	358507.31	356147.51	357735.84	2806	3485	1
2024.07.11	13:40:00	357713.15	358166.95	356192.89	357871.98	2928	3569	1
2024.07.11	14:00:00	357871.98	358824.97	357440.86	358507.31	2305	2757	1
2024.07.11	14:20:00	358530.00	359460.30	358212.33	359142.64	2205	2602	1
2024.07.11	14:40:00	359119.95	359982.18	358371.17	358666.14	3325	4184	1
2024.07.11	15:00:00	358666.14	359142.64	358030.81	358915.73	2425	3108	1
2024.07.11	15:20:00	358802.28	359846.04	358053.50	359346.85	2702	3390	1
2024.07.11	15:40:00	359369.54	359505.68	358393.86	358666.14	1834	2259	1
2024.07.11	16:00:00	358643.45	358847.66	357259.34	357803.91	1963	2503	1
2024.07.11	16:20:00	357781.22	357826.60	356079.44	357259.34	2999	3675	1
2024.07.11	16:40:00	357259.34	357667.77	355829.85	356056.75	2980	3532	1
2024.07.11	17:00:00	355943.30	357282.03	354899.54	355671.02	2834	3541	1
2024.07.11	17:20:00	355671.02	356555.94	355239.90	356419.80	1913	2356	1
2024.07.11	17:40:00	356329.04	356669.39	355421.42	356102.13	1062	1350	1
2024.07.11	18:00:00	355875.23	357123.20	355671.02	356170.20	541	614	1
2024.07.11	18:20:00	355875.23	356896.29	355784.47	355784.47	190	224	1
2024.07.12	09:00:00	354286.91	355602.95	353424.67	353901.17	2782	3068	1
2024.07.12	09:20:00	353901.17	355580.25	353084.32	353810.41	4143	4592	1
2024.07.12	09:40:00	353833.10	355739.09	353515.43	355557.56	2904	3248	1
2024.07.12	10:00:00	355534.87	358983.81	355262.59	358620.76	4860	5679	1
2024.07.12	10:20:00	358620.76	359119.95	357100.51	358847.66	5237	6286	1
2024.07.12	10:40:00	358779.59	361207.46	357486.24	360322.53	6126	7598	1
2024.07.12	11:00:00	360209.08	361071.32	358779.59	360231.77	4571	5445	1
2024.07.12	11:20:00	360209.08	360912.48	359165.33	359777.97	3067	3563	1
2024.07.12	11:40:00	359800.66	360413.30	359482.99	360095.63	2066	2403	1
2024.07.12	12:00:00	360095.63	360776.34	359687.21	359687.21	1905	2263	1
2024.07.12	12:20:00	359755.28	362251.21	359573.75	361048.63	3735	4555	1
2024.07.12	12:40:00	361025.94	362387.36	360549.44	361820.10	2556	3068	1
2024.07.12	13:00:00	361933.55	362092.38	360685.58	361366.29	2363	2919	1
