<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	360980.55	453221.78	352925.49	418796.44	1462104	1824253	1
2024.08.01	417802.54	428374.10	326408.23	374741.10	2156802	2952690	1
2024.09.01	372200.25	407266.90	332266.24	390536.92	1704603	2508486	1
2024.10.01	391428.00	472852.68	366210.51	450891.74	2070339	3004058	1
2024.11.01	450891.74	655181.73	429612.27	639924.34	3012308	4592895	1
2024.12.01	624558.90	728745.69	605108.97	623753.85	3177297	4935356	1
2025.01.01	645040.92	706390.27	584926.22	626892.81	3537418	5570515	1
2025.02.01	593103.02	629366.26	491945.37	521306.86	2901524	4631068	1
2025.03.01	541824.52	552437.11	475131.70	485962.29	2946183	4560096	1
2025.04.01	496654.08	562820.82	462399.24	555329.81	2669885	4265716	1
2025.05.01	565033.61	652936.30	542073.35	608080.00	3281907	5462038	1
2025.06.01	600320.00	619960.00	551960.00	589120.00	3593301	14205474	1
2025.07.01	585000.00	683340.00	580500.00	662160.00	2504566	14797424	0
2025.08.01	655020.00	672000.00	589480.00	591300.00	2540569	14638376	1
2025.09.01	597120.00	630420.00	587820.00	624500.00	2121149	12117657	1
2025.10.01	629940.00	680400.00	558000.00	596200.00	2906872	17332701	1
2025.11.01	586620.00	589360.00	435420.00	491680.00	2762535	14964791	1
2025.12.01	465000.00	519640.00	453260.00	488280.00	2226475	12242216	1
2026.01.01	496920.00	532260.00	433580.00	445220.00	1722620	9295367	1
