<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.07	360980.55	366131.26	352925.49	357463.55	264452	323138	1
2024.07.14	379359.73	431865.16	379359.73	429278.47	454465	572077	1
2024.07.21	430549.12	441972.56	407609.20	441023.83	462017	567246	1
2024.07.28	450985.49	453221.78	402284.03	402284.03	477864	612962	1
2024.08.04	347302.88	383196.49	326408.23	377639.64	545139	733270	1
2024.08.11	374206.14	382428.47	348997.04	367293.97	535836	719722	1
2024.08.18	363905.65	403390.88	357354.89	398850.53	458162	612857	1
2024.08.25	396004.34	398669.82	362911.74	374741.10	420971	635671	1
2024.09.01	372200.25	377416.86	332266.24	336403.55	455912	689707	1
2024.09.08	346252.14	379463.02	345352.73	377686.68	473218	700661	1
2024.09.15	368265.31	393493.89	357180.03	392661.93	396434	575772	1
2024.09.22	395090.35	407266.90	384994.42	397643.26	325388	466285	1
2024.09.29	389289.41	393722.52	366210.51	382071.69	411695	584330	1
2024.10.06	385881.04	399135.82	367034.76	395304.19	404199	586298	1
2024.10.13	406999.58	438721.93	405551.58	436004.14	456594	668400	1
2024.10.20	434467.04	436471.96	414395.52	425523.44	425896	612175	1
2024.10.27	434756.27	472852.68	434404.55	448979.22	543645	795066	1
2024.11.03	446407.22	493362.75	429612.27	487757.10	635969	952240	1
2024.11.10	527106.53	601408.81	523523.32	563598.19	867164	1328409	1
2024.11.17	575688.79	639373.32	569401.68	633108.19	652718	1001559	1
2024.11.24	627788.32	655181.73	580019.43	639924.34	738418	1144537	1
2024.12.01	624558.90	680790.81	620863.41	673961.72	854155	1337876	1
2024.12.08	649649.31	670763.29	621922.35	665835.97	850918	1294987	1
2024.12.15	683405.74	728745.69	605108.97	634932.19	923992	1420914	1
2024.12.22	635926.30	650596.85	618831.97	632992.44	412723	669133	1
2024.12.29	628713.74	660005.73	607426.66	655620.60	417010	646874	1
2025.01.05	658643.36	676205.20	590205.42	621923.16	857982	1335610	1
2025.01.12	595931.64	688977.44	584926.22	683464.09	785448	1229833	1
2025.01.19	704921.46	706390.27	643018.65	663518.10	837541	1367777	1
2025.01.26	629650.37	668882.44	621944.45	626892.81	774946	1202867	1
2025.02.02	593103.02	629366.26	582391.74	586101.91	777453	1264147	1
2025.02.09	599433.37	600984.51	571932.00	583125.39	679760	1074742	1
2025.02.16	578241.39	597819.34	557699.21	570150.28	618111	978909	1
2025.02.23	575222.94	577717.35	491945.37	521306.86	826200	1313270	1
2025.03.02	541824.52	552437.11	519371.62	527216.61	501347	785751	1
2025.03.09	507864.25	515043.35	475131.70	507323.21	943821	1445908	1
2025.03.16	502641.19	512317.37	479876.15	504597.24	706170	1081556	1
2025.03.23	521951.94	531253.56	495482.09	498401.77	641945	1005917	1
2025.03.30	492850.27	522047.07	470890.98	511314.16	806454	1259947	1
2025.04.06	467498.40	512568.39	462399.24	509443.10	871235	1417393	1
2025.04.13	512568.39	523753.64	504652.36	509114.12	440846	723648	1
2025.04.20	528976.17	562820.82	527763.06	556223.04	420333	649648	1
2025.04.27	559288.47	568565.96	541606.43	564383.99	379361	610428	1
2025.05.04	546478.64	605452.61	542073.35	595830.01	575988	908801	1
2025.05.11	601575.15	607543.60	584278.82	599910.48	894055	1497508	1
2025.05.18	595809.71	652936.30	593028.49	623906.08	934578	1650465	1
2025.05.25	631356.50	638319.69	599220.00	608080.00	781842	1250880	1
2025.06.01	600320.00	610840.00	564340.00	586640.00	955754	1645458	1
2025.06.08	605900.00	619960.00	581240.00	588320.00	893633	1537655	1
2025.06.15	595180.00	601620.00	565500.00	571940.00	768225	4963131	1
2025.06.22	561520.00	607013.44	551960.00	595460.00	846736	5352233	1
2025.06.29	598560.00	605460.00	580500.00	589220.00	573092	3624654	1
2025.07.06	593580.00	665200.00	593400.00	660060.00	531225	3275207	0
2025.07.13	680000.00	683340.00	646720.00	657480.00	568856	3290345	0
2025.07.20	658720.00	674441.95	648780.00	666640.00	539230	2931504	1
2025.07.27	674340.00	678460.00	632500.00	636080.00	577642	3541675	1
2025.08.03	639360.00	646060.00	626860.00	641620.00	520354	2822638	1
2025.08.10	661840.00	672000.00	634800.00	636140.00	634103	3722002	1
2025.08.17	624000.00	639820.00	612440.00	638120.00	632157	3452208	1
2025.08.24	607840.00	625790.32	589480.00	591300.00	597429	3482564	1
2025.08.31	597120.00	621860.00	594540.00	607020.00	569642	3303425	1
2025.09.07	611100.00	630420.00	605600.00	627380.00	494099	2818782	1
2025.09.14	620060.00	628700.00	611120.00	617120.00	446018	2462604	1
2025.09.21	603560.00	610560.00	587820.00	594020.00	425962	2471256	1
2025.09.28	607300.00	672380.00	604040.00	662660.00	567818	3492431	1
2025.10.05	673580.00	680400.00	568800.00	611000.00	688756	4161915	1
2025.10.12	635400.00	639900.00	572220.00	583820.00	695142	4174553	1
2025.10.19	603000.00	616720.00	578300.00	599060.00	591821	3522653	1
2025.10.26	620760.00	625480.00	558000.00	596200.00	548763	3042739	1
2025.11.02	586620.00	589360.00	536220.00	555640.00	728942	3830155	1
2025.11.09	569500.00	571760.00	501080.00	503800.00	699304	3842552	1
2025.11.16	509020.00	512060.00	435420.00	460300.00	671792	3660520	1
2025.11.23	466780.00	502640.00	460820.00	491680.00	662497	3631564	1
2025.11.30	465000.00	501880.00	453260.00	490460.00	714389	4067245	1
2025.12.07	503000.00	519640.00	485740.00	491620.00	553445	3030014	1
2025.12.14	486480.00	499080.00	463940.00	486740.00	590164	3198533	1
2025.12.21	499060.00	503540.00	484240.00	491360.00	229152	1222965	1
2025.12.28	491000.00	499500.00	485820.00	493020.00	221233	1207982	1
2026.01.04	510260.00	518560.00	484960.00	489460.00	459311	2602243	1
