<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.22	123.76	124.61	122.90	123.82	106662	4567571	1
2021.06.23	123.82	124.95	123.25	123.54	95102	4931981	1
2021.06.24	124.74	124.74	123.91	124.53	44406	3702809	1
2021.06.25	124.93	124.93	121.76	122.50	71786	5253258	1
2021.06.28	122.57	123.22	121.80	122.45	43735	5936665	1
2021.06.29	122.55	122.59	121.33	122.31	50601	5275619	1
2021.06.30	121.87	122.34	121.34	121.81	91349	4419211	1
2021.07.01	122.12	122.29	120.20	120.73	90377	6440452	1
2021.07.02	121.71	122.86	121.22	122.78	52335	6795892	1
2021.07.05	122.58	122.58	121.66	121.97	50539	4437056	1
2021.07.06	121.50	121.56	120.05	120.30	62381	5736262	1
2021.07.07	121.50	122.37	120.43	122.28	47618	4433980	1
2021.07.08	120.03	121.13	119.55	120.66	25683	5493705	1
2021.07.12	121.44	122.95	121.34	122.78	36497	3846259	1
2021.07.13	122.20	123.50	121.61	123.32	50585	5541055	1
2021.07.14	124.30	124.71	123.20	123.47	56448	6370873	1
2021.07.15	123.23	124.07	122.08	122.80	35712	3956398	1
2021.07.16	123.01	123.14	121.04	121.15	54569	5638173	1
2021.07.19	119.50	119.91	118.64	119.74	75786	6486683	1
2021.07.20	119.38	120.84	118.88	120.60	61406	6962543	1
2021.07.21	120.65	121.28	120.46	121.12	35745	4175624	1
2021.07.22	121.08	121.60	120.60	121.43	46022	2196191	1
2021.07.23	121.33	121.36	119.62	120.20	39776	4065682	1
2021.07.26	120.32	121.42	120.32	121.20	36888	3630350	1
2021.07.27	120.74	120.74	118.90	119.76	55106	4666294	1
2021.07.28	120.90	121.90	120.20	121.45	66690	8150670	1
2021.07.29	121.42	121.69	120.13	120.73	31449	3522864	1
2021.07.30	119.65	120.24	117.10	117.11	61406	8325910	1
2021.08.02	118.88	119.80	117.60	117.60	153504	8118658	1
2021.08.03	117.79	119.05	116.13	118.73	125945	6795157	1
2021.08.04	118.21	118.51	116.38	116.96	45068	6475087	1
2021.08.05	118.24	118.89	116.46	116.93	65182	9258798	1
2021.08.06	117.40	118.59	116.91	118.24	35371	5126802	1
2021.08.09	117.79	118.92	117.58	118.14	77579	6097467	1
2021.08.10	118.50	118.82	117.39	117.57	201794	5772699	1
2021.08.11	117.49	118.08	116.18	117.26	112340	5901371	1
2021.08.12	117.29	117.29	115.87	115.87	69233	7638888	1
2021.08.13	116.45	116.68	115.35	116.56	78756	5517366	1
