<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.22	00:00:00	123.76	124.61	122.90	123.14	12526	1628635	1
2021.06.22	12:00:00	123.14	124.08	123.04	123.82	94136	2938936	1
2021.06.23	00:00:00	123.82	124.95	123.82	124.64	6636	1040259	1
2021.06.23	12:00:00	124.64	124.79	123.25	123.54	88466	3891722	1
2021.06.24	00:00:00	124.74	124.74	123.92	124.22	17325	1486718	1
2021.06.24	12:00:00	124.21	124.62	123.91	124.53	27081	2216091	1
2021.06.25	00:00:00	124.93	124.93	123.97	124.00	10572	1187904	1
2021.06.25	12:00:00	123.98	124.04	121.76	122.50	61214	4065354	1
2021.06.28	00:00:00	122.57	123.22	121.81	122.03	11880	2282646	1
2021.06.28	12:00:00	122.03	122.70	121.80	122.45	31855	3654019	1
2021.06.29	00:00:00	122.55	122.59	121.33	121.84	10463	1565825	1
2021.06.29	12:00:00	121.84	122.50	121.60	122.31	40138	3709794	1
2021.06.30	00:00:00	121.87	122.31	121.49	121.67	20522	1157248	1
2021.06.30	12:00:00	121.66	122.34	121.34	121.81	70827	3261963	1
2021.07.01	00:00:00	122.12	122.29	120.70	121.08	18933	1807653	1
2021.07.01	12:00:00	121.08	121.18	120.20	120.73	71444	4632799	1
2021.07.02	00:00:00	121.71	122.18	121.22	122.04	16081	2442700	1
2021.07.02	12:00:00	122.04	122.86	122.00	122.78	36254	4353192	1
2021.07.05	00:00:00	122.58	122.58	121.66	122.04	5644	1009311	1
2021.07.05	12:00:00	122.04	122.47	121.78	121.97	44895	3427745	1
2021.07.06	00:00:00	121.50	121.56	120.47	120.51	12238	1346693	1
2021.07.06	12:00:00	120.50	120.97	120.05	120.30	50143	4389569	1
2021.07.07	00:00:00	121.50	121.60	120.43	120.90	10837	1093602	1
2021.07.07	12:00:00	120.94	122.37	120.90	122.28	36781	3340378	1
2021.07.08	00:00:00	120.03	120.60	119.55	120.09	8563	2018445	1
2021.07.08	12:00:00	120.08	121.13	120.07	120.66	17120	3475260	1
2021.07.12	00:00:00	121.44	121.92	121.34	121.88	9413	928512	1
2021.07.12	12:00:00	121.86	122.95	121.75	122.78	27084	2917747	1
2021.07.13	00:00:00	122.20	122.60	121.67	121.75	19711	1059219	1
2021.07.13	12:00:00	121.75	123.50	121.61	123.32	30874	4481836	1
2021.07.14	00:00:00	124.30	124.71	123.75	123.76	16793	2146715	1
2021.07.14	12:00:00	123.74	123.90	123.20	123.47	39655	4224158	1
2021.07.15	00:00:00	123.23	124.07	123.23	123.50	7681	1097228	1
2021.07.15	12:00:00	123.49	123.50	122.08	122.80	28031	2859170	1
2021.07.16	00:00:00	123.01	123.14	122.40	122.84	7580	1243496	1
