<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.01	123.76	124.95	121.33	121.81	503641	34087114	1
2021.07.01	122.12	124.71	117.10	117.11	1073018	110872916	1
2021.08.01	118.88	119.80	110.00	114.08	2053671	163696845	1
2021.09.01	114.15	115.45	103.44	106.49	1815112	209382226	1
2021.10.01	107.01	110.53	98.88	99.68	2950203	226839003	1
2021.11.01	100.76	104.50	96.32	98.35	2775682	206352349	1
2021.12.01	99.26	105.41	96.91	100.80	1573662	163502133	1
2022.01.01	101.49	108.85	97.10	107.98	1690964	173643243	1
2022.02.01	108.24	111.34	105.10	108.90	1311070	139077507	1
2022.03.01	110.20	116.45	103.84	115.60	1534997	173353652	1
2022.04.01	116.58	117.22	103.40	103.40	1249481	100583726	1
2022.05.01	103.67	108.73	98.63	107.18	1784097	167296255	1
2022.06.01	107.33	108.75	94.26	95.00	1908712	183218726	1
2022.07.01	94.36	100.38	91.90	99.30	1385384	146584772	1
2022.08.01	99.27	110.31	98.11	105.83	1957344	167666199	1
2022.09.01	106.07	110.47	102.43	106.46	1410088	137092631	1
2022.10.01	110.00	116.61	107.67	112.15	1588903	164531069	1
2022.11.01	113.16	115.91	103.53	108.58	2213343	208376006	1
2022.12.01	107.77	109.90	98.30	105.95	2041545	184026488	1
2023.01.01	104.36	111.10	100.35	109.84	1572116	138990577	1
2023.02.01	109.49	109.86	101.15	101.15	1326386	128584942	1
2023.03.01	101.91	103.30	93.81	98.49	1917939	186002256	1
2023.04.01	98.75	104.89	96.71	100.90	1207694	125002707	1
2023.05.01	100.60	108.17	97.76	104.84	1516660	188167578	1
2023.06.01	105.51	116.78	104.86	114.17	1440659	148515254	1
2023.07.01	114.90	119.17	112.04	117.95	1261510	136078678	1
2023.08.01	117.20	118.80	110.58	112.31	1371568	142308760	1
2023.09.01	112.82	116.04	109.89	113.15	1083453	100655404	1
2023.10.01	112.64	113.55	108.19	109.62	1040639	90950547	1
2023.11.01	110.14	123.60	110.14	123.57	1566654	114532101	1
2023.12.01	123.42	130.52	121.72	130.39	1097792	81130879	1
2024.01.01	129.80	129.89	122.17	123.95	1418869	124582296	1
2024.02.01	124.14	127.84	122.68	125.25	1252233	107580928	1
2024.03.01	125.25	125.92	122.15	124.33	1438849	90726247	1
2024.04.01	124.68	126.21	119.81	122.38	1871022	120239287	1
2024.05.01	123.87	125.97	118.36	118.66	1648717	98242737	1
2024.06.01	118.65	120.92	115.23	120.38	2255363	114981432	1
2024.07.01	120.54	125.99	120.16	124.04	2311478	127127349	1
2024.08.01	124.60	133.78	117.94	132.60	2556917	134947793	1
2024.09.01	131.97	133.20	126.61	128.43	2100449	105942378	1
2024.10.01	128.90	131.33	125.17	126.26	2253527	123717586	1
2024.11.01	126.31	127.83	120.66	122.32	2012596	120312098	1
2024.12.01	121.78	127.36	117.02	117.27	2149342	129149043	1
2025.01.01	117.20	124.40	115.26	123.00	2942763	137143733	1
2025.02.01	122.89	126.37	119.62	120.01	2313094	106508853	1
2025.03.01	120.01	130.59	119.30	127.30	1736908	106208745	1
2025.04.01	127.15	132.92	120.06	131.63	2145565	152607142	1
2025.05.01	131.62	137.19	129.72	133.99	1603643	117717815	1
2025.06.01	135.03	136.87	131.07	135.85	1937720	117189663	1
2025.07.01	135.98	138.45	128.70	129.88	1517253	105960302	0
2025.08.01	131.61	139.38	129.20	138.50	1293226	110358059	1
2025.09.01	138.70	144.64	136.61	143.24	1289220	100721489	1
2025.10.01	143.80	146.75	137.30	146.41	1286376	131585995	1
2025.11.01	147.10	156.52	146.52	155.85	990135	107955479	1
2025.12.01	155.71	161.74	152.04	158.00	947068	127877208	1
2026.01.01	158.83	183.14	157.04	178.20	866112	121122518	1
