<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.20	123.76	124.95	121.76	122.50	317956	18455619	1
2021.06.27	122.57	123.22	120.20	122.78	328397	28867839	1
2021.07.04	122.58	122.58	119.55	120.66	186221	20101003	1
2021.07.11	121.44	124.71	121.04	121.15	233811	25352758	1
2021.07.18	119.50	121.60	118.64	120.20	258735	23886723	1
2021.07.25	120.32	121.90	117.10	117.11	251539	28296088	1
2021.08.01	118.88	119.80	116.13	118.24	425070	35774502	1
2021.08.08	117.79	118.92	115.35	116.56	539702	30927791	1
2021.08.15	116.18	116.18	110.00	113.65	590058	57231796	1
2021.08.22	113.65	116.25	112.59	116.18	352578	27899394	1
2021.08.29	115.75	115.82	111.23	112.09	362237	31481247	1
2021.09.05	112.00	113.61	108.10	109.88	383064	49644401	1
2021.09.12	111.68	112.83	106.92	107.14	367035	40147601	1
2021.09.19	105.25	109.99	103.44	109.03	498623	63727709	1
2021.09.26	108.93	110.40	105.71	108.49	430449	44266121	1
2021.10.03	107.51	110.05	103.97	108.39	410326	46242262	1
2021.10.10	108.66	110.37	107.68	110.22	344074	32027091	1
2021.10.17	108.80	110.53	98.88	102.33	1052495	78563978	1
2021.10.24	103.74	105.24	99.47	99.68	1063275	61984181	1
2021.10.31	100.76	102.82	98.87	100.81	933496	48580113	1
2021.11.07	100.12	104.50	100.10	102.13	716527	46261368	1
2021.11.14	102.73	102.85	98.14	99.27	400050	37022388	1
2021.11.21	99.53	102.46	97.60	98.39	535602	56075820	1
2021.11.28	99.64	102.84	96.32	101.32	649562	55799352	1
2021.12.05	101.98	104.54	101.68	103.73	332720	35412159	1
2021.12.12	103.90	105.41	101.67	103.10	315507	39276537	1
2021.12.19	101.98	101.98	100.40	100.85	189130	28236199	1
2021.12.26	101.40	101.83	99.94	100.80	276750	23190546	1
2022.01.02	101.49	102.24	97.10	98.70	332195	48449817	1
2022.01.09	97.96	103.07	97.28	103.07	346021	33340065	1
2022.01.16	102.54	105.79	101.81	104.70	461587	31764497	1
2022.01.23	104.49	108.85	102.65	107.58	458413	48514280	1
2022.01.30	107.29	109.20	106.22	108.02	379974	37435664	1
2022.02.06	107.77	110.60	106.82	109.31	292485	36153130	1
2022.02.13	109.66	111.34	108.44	108.51	360780	37068101	1
2022.02.20	108.95	109.60	105.10	108.90	370579	39995196	1
2022.02.27	110.20	111.66	109.26	110.40	149475	18459532	1
2022.03.06	110.00	110.32	106.92	107.70	372790	46032923	1
2022.03.13	108.19	111.02	103.84	110.73	338611	45074335	1
2022.03.20	111.19	115.24	110.94	114.75	426598	41042923	1
2022.03.27	114.89	117.22	113.66	117.20	371019	28638813	1
2022.04.03	116.85	117.10	112.48	113.98	322307	26553403	1
2022.04.10	112.85	114.18	111.30	111.65	228083	14905347	1
2022.04.17	111.62	111.98	106.50	106.75	198770	19307699	1
2022.04.24	105.78	107.73	103.40	103.40	376825	33922403	1
2022.05.01	103.67	104.57	100.10	101.23	542905	51750216	1
2022.05.08	99.80	103.87	98.63	103.29	411739	39747180	1
2022.05.15	103.36	105.70	102.15	104.66	392537	39856111	1
2022.05.22	105.47	108.43	104.50	107.90	334767	29926338	1
2022.05.29	108.70	108.75	106.64	107.48	311780	24197271	1
2022.06.05	107.61	108.02	100.87	101.82	467342	36743814	1
2022.06.12	100.10	100.32	94.91	96.21	513561	56283664	1
2022.06.19	96.20	97.49	94.38	95.47	426191	43132880	1
2022.06.26	96.06	98.63	93.81	95.63	374341	36128556	1
2022.07.03	94.99	98.00	93.06	96.88	326878	34304393	1
2022.07.10	95.36	95.76	91.90	93.27	355058	38596489	1
2022.07.17	94.00	96.16	93.20	95.42	340127	40956632	1
2022.07.24	96.31	100.38	95.85	99.30	280967	25476209	1
2022.07.31	99.27	103.41	98.11	102.74	451839	35714364	1
2022.08.07	103.35	108.64	103.29	108.64	482349	43380209	1
2022.08.14	107.55	110.31	107.10	107.53	350353	39419426	1
2022.08.21	106.76	110.19	106.09	108.36	377974	31790131	1
2022.08.28	107.91	109.29	104.43	107.09	427659	28304886	1
2022.09.04	108.27	108.69	104.76	108.40	185347	23257533	1
2022.09.11	109.60	110.19	104.72	105.60	280151	26886406	1
2022.09.18	104.83	110.47	104.66	107.84	448931	36954731	1
2022.09.25	107.00	107.33	102.43	106.46	362829	39051144	1
2022.10.02	110.00	114.47	109.33	112.78	380059	44115946	1
2022.10.09	112.89	113.05	107.67	108.22	187653	24462343	1
2022.10.16	108.77	116.61	108.41	116.43	388032	37358102	1
2022.10.23	114.57	114.57	108.70	113.00	497180	44667621	1
2022.10.30	108.47	115.91	108.25	114.00	495844	41392453	1
