<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.08	7425.638	7609.985	7386.828	7609.985	1155868	3592585	1
2021.03.09	7555.005	7606.751	7469.623	7513.607	1197392	3633496	1
2021.03.10	7505.198	7528.484	7308.561	7346.078	1324193	4035018	1
2021.03.11	7238.057	7279.454	7156.556	7170.139	1058583	3324160	1
2021.03.12	7215.417	7227.060	7179.842	7188.251	836074	2595323	1
2021.03.15	7192.778	7322.792	7162.377	7271.692	1086524	3483879	1
2021.03.16	7284.629	7294.978	7195.366	7280.748	1050772	3280583	1
2021.03.17	7328.613	7355.780	7209.596	7226.414	1071666	3186900	1
2021.03.18	7125.508	7223.826	7089.285	7199.247	1151208	3590103	1
2021.03.19	7153.968	7183.723	7052.416	7104.809	1087880	3477855	1
2021.03.22	7128.095	7179.195	7111.277	7133.270	940924	2792616	1
2021.03.23	7169.492	7183.723	7072.467	7150.734	1118274	3618946	1
2021.03.24	7128.095	7301.446	7105.456	7280.748	1114961	3792318	1
2021.03.25	7280.101	7352.546	7269.751	7310.502	1104571	3518616	1
2021.03.26	7314.383	7450.218	7303.387	7447.630	948641	3041981	1
2021.03.29	7460.567	7511.667	7421.757	7481.266	1002745	3004080	1
2021.03.30	7482.559	7508.433	7402.352	7469.623	1027267	3102676	1
2021.03.31	7456.061	7462.519	7272.017	7285.578	1105229	3454863	1
2021.04.01	7277.829	7409.566	7253.935	7385.673	920219	2745472	1
2021.04.05	7334.011	7352.093	7286.870	7325.616	920754	2665972	1
2021.04.06	7329.491	7334.011	7210.669	7231.979	981880	2987479	1
2021.04.07	7228.750	7313.992	7176.443	7265.559	1182148	3515979	1
2021.04.08	7251.998	7264.914	7162.882	7204.857	1088416	3145805	1
2021.04.09	7239.083	7357.904	7232.625	7357.904	958732	2899799	1
2021.04.12	7341.114	7425.065	7281.058	7417.315	1010721	3088379	1
2021.04.13	7414.086	7443.146	7321.741	7391.484	1208383	3745827	1
2021.04.14	7372.111	7415.378	7299.139	7312.701	1173366	3619466	1
2021.04.15	7308.826	7321.096	7234.562	7261.039	1057680	3216143	1
2021.04.16	7258.456	7338.531	7195.170	7221.647	1047614	3296260	1
2021.04.19	7200.982	7266.205	7144.155	7166.756	1201007	3589969	1
2021.04.20	7195.170	7222.293	7111.866	7197.108	1208140	3590122	1
2021.04.22	7178.380	7185.484	7027.270	7036.311	1294280	4067590	1
2021.04.23	7015.646	7137.051	7009.189	7074.411	1093787	3279051	1
2021.04.26	7049.226	7093.139	7019.521	7024.687	1017604	3065337	1
2021.04.27	7027.270	7063.433	6989.815	7042.769	1155599	3477617	1
2021.04.28	7042.769	7049.226	6902.637	6904.574	1212571	3957221	1
2021.04.29	6910.386	6948.486	6878.097	6896.179	1031172	3273047	1
2021.04.30	6923.905	7042.549	6896.824	7031.588	978758	3360342	1
2021.05.03	6999.992	7052.221	6946.474	7032.877	1124589	3358722	1
2021.05.04	7059.314	7088.330	6994.834	7040.615	1116587	3336155	1
2021.05.05	7029.008	7038.036	6916.813	6919.392	1045603	3344435	1
2021.05.06	6909.720	6946.474	6794.945	6822.671	1207153	3941353	1
2021.05.07	6825.250	6842.015	6724.016	6769.797	1119389	3543529	1
2021.05.10	6768.508	6785.917	6714.344	6749.808	1126585	3387709	1
2021.05.11	6767.218	6823.316	6722.082	6746.584	1135092	3545592	1
2021.05.12	6762.060	6871.031	6731.109	6855.556	1281095	4124919	1
2021.05.13	6849.753	6887.796	6784.628	6853.622	1272465	3949919	1
2021.05.14	6828.474	6840.726	6773.666	6809.130	949880	3007075	1
2021.05.17	6828.474	6869.742	6773.666	6813.644	949167	3047674	1
2021.05.18	6796.234	6818.802	6753.677	6792.365	1045324	3271549	1
2021.05.19	6825.250	6875.545	6789.786	6858.135	1067359	3395435	1
2021.05.20	6847.819	6851.043	6802.682	6821.382	769132	2633586	1
2021.05.21	6822.026	6932.288	6803.327	6921.971	918101	3127684	1
2021.05.24	6918.747	6936.157	6852.977	6861.359	721851	2440472	1
2021.05.25	6852.977	6899.403	6831.054	6878.124	843095	2808990	1
2021.05.26	6869.097	6891.665	6821.382	6853.622	855972	2917204	1
2021.05.27	6843.950	6852.332	6753.032	6754.967	984405	3566599	1
2021.05.28	6780.759	6784.628	6718.858	6740.781	707504	2303999	1
2021.05.31	6738.211	6781.907	6699.013	6724.716	657757	2216540	1
2021.06.01	6700.298	6711.222	6623.829	6637.324	950664	3241537	1
2021.06.02	6644.392	6666.883	6528.726	6539.650	1130745	4239738	1
2021.06.04	6582.704	6585.274	6483.102	6503.022	928191	3195683	1
2021.06.07	6492.741	6531.296	6464.467	6513.304	993246	3229509	1
2021.06.08	6496.596	6528.726	6468.322	6486.958	954541	3161290	1
2021.06.09	6472.178	6549.931	6464.467	6521.657	951555	3207857	1
2021.06.10	6519.087	6557.000	6480.532	6511.376	990098	3362174	1
2021.06.11	6503.022	6617.404	6502.380	6591.700	850721	2845555	1
2021.06.14	6573.707	6581.418	6508.806	6515.874	747013	2658309	1
2021.06.15	6519.730	6571.780	6486.958	6491.456	980428	3332783	1
2021.06.16	6504.307	6540.935	6427.197	6506.878	1212942	4316984	1
2021.06.17	6522.300	6533.224	6443.261	6443.261	1024661	3520795	1
2021.06.18	6443.261	6574.350	6410.489	6548.646	1218479	4244395	1
2021.06.21	6526.798	6538.365	6449.045	6450.330	816145	2676346	1
