<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.08	08:00:00	7425.638	7454.746	7415.936	7443.103	198700	510983	1
2021.03.08	10:00:00	7443.103	7462.508	7397.824	7421.757	333857	948613	1
2021.03.08	12:00:00	7421.757	7437.928	7386.828	7426.285	209335	670848	1
2021.03.08	14:00:00	7425.638	7491.615	7406.233	7477.385	203899	720523	1
2021.03.08	16:00:00	7476.738	7541.421	7465.095	7532.365	173355	607663	1
2021.03.08	18:00:00	7532.365	7609.985	7531.719	7609.985	36722	133955	1
2021.03.09	08:00:00	7555.005	7601.577	7518.782	7580.878	224044	633736	1
2021.03.09	10:00:00	7580.878	7606.751	7558.886	7584.112	326234	971431	1
2021.03.09	12:00:00	7583.465	7586.053	7503.905	7521.369	283241	874084	1
2021.03.09	14:00:00	7522.016	7555.005	7469.623	7501.964	243013	781827	1
2021.03.09	16:00:00	7502.611	7521.369	7476.091	7518.135	109488	334939	1
2021.03.09	18:00:00	7518.135	7522.663	7510.373	7513.607	11372	37479	1
2021.03.10	08:00:00	7505.198	7528.484	7470.916	7483.853	230376	622782	1
2021.03.10	10:00:00	7483.853	7498.083	7395.237	7400.412	394348	1121682	1
2021.03.10	12:00:00	7400.412	7476.091	7338.316	7347.371	303147	1013477	1
2021.03.10	14:00:00	7347.371	7427.579	7324.085	7349.312	253643	828368	1
2021.03.10	16:00:00	7349.312	7360.308	7308.561	7344.784	126228	397930	1
2021.03.10	18:00:00	7344.784	7353.840	7335.728	7346.078	16451	50779	1
2021.03.11	08:00:00	7238.057	7278.160	7221.239	7249.053	204538	541184	1
2021.03.11	10:00:00	7248.406	7279.454	7233.529	7238.703	289584	880575	1
2021.03.11	12:00:00	7238.703	7255.521	7177.901	7193.425	246090	816323	1
2021.03.11	14:00:00	7194.072	7201.834	7156.556	7175.314	187101	628809	1
2021.03.11	16:00:00	7174.667	7210.243	7164.318	7173.373	118955	415113	1
2021.03.11	18:00:00	7172.727	7177.901	7164.965	7170.139	12315	42156	1
