<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.08	09:00:00	7425.638	7454.746	7420.463	7447.630	67643	174412	1
2021.03.08	09:20:00	7447.630	7451.511	7426.932	7428.225	61090	156962	1
2021.03.08	09:40:00	7428.225	7450.865	7415.936	7443.103	69967	179609	1
2021.03.08	10:00:00	7443.103	7462.508	7442.456	7444.396	58379	165850	1
2021.03.08	10:20:00	7444.396	7445.690	7420.463	7435.341	58302	158202	1
2021.03.08	10:40:00	7435.341	7439.868	7406.880	7410.761	62348	170408	1
2021.03.08	11:00:00	7411.408	7415.936	7404.293	7408.820	38004	113545	1
2021.03.08	11:20:00	7408.820	7421.757	7397.824	7401.705	63330	181597	1
2021.03.08	11:40:00	7401.058	7426.932	7399.765	7421.757	53494	159011	1
2021.03.08	12:00:00	7421.757	7424.344	7401.058	7406.880	39756	126874	1
2021.03.08	12:20:00	7407.527	7410.114	7386.828	7402.999	42724	134413	1
2021.03.08	12:40:00	7402.999	7406.233	7390.062	7404.939	28546	90353	1
2021.03.08	13:00:00	7404.939	7415.936	7400.412	7406.233	30252	99659	1
2021.03.08	13:20:00	7406.233	7415.936	7395.884	7415.289	27106	82311	1
2021.03.08	13:40:00	7414.642	7437.928	7413.995	7426.285	40951	137238	1
2021.03.08	14:00:00	7425.638	7429.519	7413.348	7419.170	29008	84409	1
2021.03.08	14:20:00	7419.170	7419.170	7406.233	7416.582	26095	79903	1
2021.03.08	14:40:00	7415.936	7420.463	7406.880	7410.761	23317	76381	1
2021.03.08	15:00:00	7410.114	7421.757	7406.880	7415.936	18329	60415	1
2021.03.08	15:20:00	7416.582	7491.615	7413.348	7471.563	52710	208255	1
2021.03.08	15:40:00	7471.563	7491.615	7460.567	7477.385	54440	211160	1
2021.03.08	16:00:00	7476.738	7483.206	7465.095	7475.444	30684	102791	1
2021.03.08	16:20:00	7475.444	7478.678	7465.095	7474.151	19731	62280	1
2021.03.08	16:40:00	7473.504	7489.028	7472.210	7481.266	23623	75277	1
2021.03.08	17:00:00	7481.266	7536.246	7481.266	7525.897	49551	196476	1
2021.03.08	17:20:00	7526.544	7541.421	7519.429	7533.012	29137	104406	1
2021.03.08	17:40:00	7532.365	7541.421	7525.250	7532.365	20629	66433	1
2021.03.08	18:00:00	7532.365	7592.521	7531.719	7587.346	28862	106371	1
2021.03.08	18:20:00	7588.640	7609.985	7579.584	7609.985	7860	27584	1
