<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.01	7425.638	7609.985	7052.416	7285.578	19382772	60525998	1
2021.04.01	7277.829	7443.146	6878.097	7031.588	21742831	66586877	1
2021.05.01	6999.992	7088.330	6699.013	6724.716	20898105	67269140	1
2021.06.01	6700.298	6711.222	6291.610	6391.795	20519007	70945017	1
2021.07.01	6381.541	6827.570	6359.752	6680.755	22277003	73878449	1
2021.08.01	6650.121	6998.582	6528.630	6571.832	25116743	79816350	1
2021.09.01	6578.185	6957.755	6543.877	6916.641	20295975	69017364	1
2021.10.01	6885.015	7289.197	6800.889	7122.967	19593502	68329906	1
2021.11.01	7114.794	7202.180	6797.309	7046.263	18148813	58090909	1
2021.12.01	7021.899	7206.817	6928.190	6962.431	17575195	55784779	1
2022.01.01	6960.570	7143.596	6550.170	6577.860	19325379	61325220	1
2022.02.01	6564.322	6622.163	6150.207	6376.821	18827842	59662976	1
2022.03.01	6442.246	6442.246	5771.446	5796.908	23361958	73691326	1
2022.04.01	5783.570	6120.036	5593.210	6031.785	22034051	67685537	1
2022.05.01	6022.169	6296.833	5640.525	5693.006	27608392	79793868	1
2022.06.01	5690.622	6300.268	5675.724	6265.041	23772251	72770416	1
2022.07.01	6296.375	6535.224	6078.184	6110.957	24082943	72856289	1
2022.08.01	6091.059	6271.895	5866.331	6074.721	26219687	84661852	1
2022.09.01	6095.057	6312.365	5930.043	6284.982	24779212	80409463	1
2022.10.01	6115.367	6251.476	5935.367	5988.462	24667563	76774080	1
2022.11.01	5948.837	6372.073	5793.211	5948.976	25391017	75217321	1
2022.12.01	5956.961	6149.176	5841.746	6038.956	19664155	60714002	1
2023.01.01	6045.197	6252.302	5742.200	5756.657	21008702	66129180	1
2023.02.01	5741.415	6010.702	5604.230	5913.348	17877703	59123741	1
2023.03.01	5892.593	6000.853	5670.687	5680.177	20255730	70448075	1
2023.04.01	5670.129	5716.463	5473.625	5564.555	14116615	50821338	1
2023.05.01	5578.977	5690.513	5437.534	5609.945	17645077	62574250	1
2023.06.01	5592.287	5613.256	5245.183	5287.995	15046719	56254820	1
2023.07.01	5298.987	5466.607	5162.692	5195.178	14993563	54106429	1
2023.08.01	5197.365	5481.006	5197.365	5416.813	16933160	63287255	1
2023.09.01	5403.201	5531.149	5279.065	5479.439	13763816	55091038	1
2023.10.01	5513.028	5674.475	5344.539	5461.050	18085391	72199852	1
2023.11.01	5460.510	5471.314	5234.699	5328.087	13675644	52959670	1
2023.12.01	5308.686	5368.504	5171.806	5223.970	11978441	47574579	1
2024.01.01	5241.678	5373.686	5196.602	5309.848	13952591	56594722	1
2024.02.01	5309.313	5382.087	5260.083	5316.261	9286627	43092850	1
2024.03.01	5306.126	5395.210	5271.452	5361.526	9331783	44332191	1
2024.04.01	5348.221	5640.939	5329.594	5539.582	14486264	62199104	1
2024.05.01	5491.808	5582.435	5369.190	5571.315	11380807	50562059	1
2024.06.01	5578.199	5927.820	5535.310	5919.907	15030197	61298322	1
2024.07.01	5908.301	6031.742	5679.354	5971.976	18481047	71284551	1
2024.08.01	5985.650	6188.134	5663.253	5903.134	21147337	77329079	1
2024.09.01	5916.766	5964.477	5659.482	5710.628	17531471	60185990	1
2024.10.01	5737.767	6051.342	5660.004	6049.260	18071392	65019165	1
2024.11.01	6043.015	6363.764	5875.948	6228.983	18213535	63571204	1
2024.12.01	6247.645	6557.124	6093.164	6398.642	21354112	68144832	1
2025.01.01	6414.629	6457.431	5994.687	6025.984	21339931	66097781	1
2025.02.01	6051.124	6090.118	5834.610	6024.686	17633486	58634927	1
2025.03.01	5983.414	6011.438	5753.106	5807.465	14996867	50586949	1
2025.04.01	5820.638	6199.122	5678.854	5745.256	20593172	64063391	1
2025.05.01	5744.753	5830.773	5638.611	5769.000	17295558	57534094	1
2025.06.01	5737.500	5745.000	5411.500	5473.500	16102541	54426295	1
2025.07.01	5467.500	5675.393	5437.500	5649.500	15083344	63166566	0
2025.08.01	5662.000	5669.500	5404.000	5467.000	13546641	52950990	1
2025.09.01	5463.500	5539.000	5284.500	5361.000	13027177	53911606	1
2025.10.01	5347.500	5560.000	5334.000	5414.000	14269961	59075868	1
2025.11.01	5409.500	5443.500	5286.000	5371.500	9954275	43104970	1
2025.12.01	5371.500	5630.107	5318.500	5519.000	13325285	54104487	1
2026.01.01	5507.000	5508.000	5174.000	5290.500	12302060	50858572	1
