<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.07	7425.638	7609.985	7156.556	7188.251	5572110	17180582	1
2021.03.14	7192.778	7355.780	7052.416	7104.809	5448050	17019320	1
2021.03.21	7128.095	7450.218	7072.467	7447.630	5227371	16764477	1
2021.03.28	7460.567	7511.667	7253.935	7385.673	4055460	12307091	1
2021.04.04	7334.011	7357.904	7162.882	7357.904	5131930	15215034	1
2021.04.11	7341.114	7443.146	7195.170	7221.647	5497764	16966075	1
2021.04.18	7200.982	7266.205	7009.189	7074.411	4797214	14526732	1
2021.04.25	7049.226	7093.139	6878.097	7031.588	5395704	17133564	1
2021.05.02	6999.992	7088.330	6724.016	6769.797	5613321	17524194	1
2021.05.09	6768.508	6887.796	6714.344	6809.130	5765117	18015214	1
2021.05.16	6828.474	6932.288	6753.677	6921.971	4749083	15475928	1
2021.05.23	6918.747	6936.157	6718.858	6740.781	4112827	14037264	1
2021.05.30	6738.211	6781.907	6483.102	6503.022	3667357	12893498	1
2021.06.06	6492.741	6617.404	6464.467	6591.700	4740161	15806385	1
2021.06.13	6573.707	6581.418	6410.489	6548.646	5183523	18073266	1
2021.06.20	6526.798	6538.365	6291.610	6344.302	4986063	17397096	1
2021.06.27	6362.937	6521.886	6321.812	6503.943	4615922	15900025	1
2021.07.04	6498.175	6827.570	6488.562	6757.077	4504877	14443816	1
2021.07.11	6750.027	6788.478	6487.922	6566.105	5483257	18028800	1
2021.07.18	6619.936	6794.887	6612.246	6671.203	5449732	17925941	1
2021.07.25	6658.386	6707.732	6461.647	6680.755	4822875	16571179	1
2021.08.01	6650.121	6757.340	6546.093	6699.263	6036843	19248713	1
2021.08.08	6694.796	6784.145	6609.276	6716.495	5945080	18536065	1
2021.08.15	6747.129	6998.582	6688.414	6871.579	6127909	19444799	1
2021.08.22	6856.900	6903.490	6623.316	6645.016	5135116	16497116	1
2021.08.29	6637.357	6672.458	6528.630	6629.011	4874707	16170475	1
