<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	179395	180835	178731	179166	4192027	16312242	1
2021.04.20	178509	179786	177557	177579	4110652	16341270	1
2021.04.22	178325	179336	176612	177557	4730148	18180736	1
2021.04.23	178214	179115	177623	178982	4055993	14198088	1
2021.04.26	179336	179764	177394	179085	3997744	14324901	1
2021.04.27	179100	179454	175940	175999	4064439	16369712	1
2021.04.28	176605	180119	176479	180074	3683926	14358899	1
2021.04.29	179698	180207	177298	177572	4112846	16651857	1
2021.04.30	177232	177978	175564	175785	4642624	18203378	1
2021.05.03	176885	177675	175431	176479	4199731	16151559	1
2021.05.04	176088	176737	174102	174493	4510263	17525644	1
2021.05.05	175261	177483	174921	177247	3816201	15218841	1
2021.05.06	177217	177800	176176	177741	4334707	16740965	1
2021.05.07	178111	181174	177741	180731	3446388	13595787	1
2021.05.10	180569	181676	180200	180429	3851225	14774841	1
2021.05.11	179085	181979	177867	181551	4474973	17805021	1
2021.05.12	181248	181455	176664	177033	4799687	18463110	1
2021.05.13	177343	179727	176929	178613	4579773	17847990	1
2021.05.14	179417	180835	178930	179927	4229227	16604769	1
2021.05.17	179299	182156	179151	181625	3773808	13626462	1
2021.05.18	182422	182850	181182	181462	4428614	17585770	1
2021.05.19	180067	182341	179676	181758	4719880	17915423	1
2021.05.20	181595	181935	180576	181226	3727279	14851364	1
2021.05.21	181898	181972	180000	181248	3104432	12046338	1
2021.05.24	181536	183714	181167	183293	3366737	13710469	1
2021.05.25	183182	184460	181447	182075	3784471	15984650	1
2021.05.26	182378	183839	182355	182924	3376831	13901269	1
2021.05.27	182924	184179	182533	183972	3528123	15738571	1
2021.05.28	184327	185862	183603	185323	3190263	13552662	1
2021.05.31	185323	186541	185139	186246	2863533	11353150	1
2021.06.01	186925	189819	186549	189627	3418814	15208910	1
2021.06.02	189376	191466	189066	191104	3578740	15899265	1
2021.06.04	190624	192359	190624	192063	3886638	15915099	1
2021.06.07	192204	193953	191296	192706	4106576	18050957	1
2021.06.08	192839	193267	190941	191982	4324569	19705616	1
2021.06.09	192004	193363	191008	191598	4602259	20707106	1
2021.06.10	191650	192920	191207	192093	4755977	20864259	1
2021.06.11	192514	192573	189937	191296	3649464	14867216	1
2021.06.14	191591	193643	191429	192255	3815918	16997722	1
2021.06.15	192506	192514	190816	192056	4632594	19979054	1
2021.06.16	191646	192320	189270	190531	4627449	20603446	1
2021.06.17	190392	191704	188156	189571	4769277	20856293	1
2021.06.18	189659	189996	188046	188427	4721279	20191211	1
2021.06.21	189138	190949	188786	190465	3970089	16042274	1
2021.06.22	190487	190509	188383	190260	4298227	18764218	1
2021.06.23	190260	191558	188904	189498	3979650	17181714	1
2021.06.24	190150	191088	189879	190795	3851654	16508928	1
2021.06.25	191030	191272	186558	187892	4467254	19161765	1
2021.06.28	187745	188801	186132	187679	4429552	18774418	1
2021.06.29	187533	187826	185869	187349	4173063	18784731	1
2021.06.30	186800	187437	185847	186191	4248136	19711908	1
2021.07.01	186851	187291	183992	184864	4756819	21620870	1
