<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	08:00:00	179395	180229	178790	179580	1894851	7071827	1
2021.04.19	12:00:00	179580	180835	179432	179956	1714616	6798265	1
2021.04.19	16:00:00	179956	180060	178731	179166	582560	2442150	1
2021.04.20	08:00:00	178509	179786	178266	178664	1986951	7648720	1
2021.04.20	12:00:00	178672	178878	177564	177778	1674877	6875179	1
2021.04.20	16:00:00	177771	178140	177557	177579	448824	1817371	1
2021.04.22	08:00:00	178325	179336	177195	178081	2139853	7877780	1
2021.04.22	12:00:00	178081	178686	176627	177239	2021711	8038899	1
2021.04.22	16:00:00	177239	177572	176612	177557	568584	2264057	1
2021.04.23	08:00:00	178214	179115	177771	177933	2180263	7461142	1
2021.04.23	12:00:00	177941	178649	177623	178546	1439929	5149066	1
2021.04.23	16:00:00	178553	179033	178317	178982	435801	1587880	1
2021.04.26	08:00:00	179336	179764	178694	179092	1969352	6762678	1
2021.04.26	12:00:00	179100	179299	178044	178531	1431049	5261702	1
2021.04.26	16:00:00	178531	179092	177394	179085	597343	2300521	1
2021.04.27	08:00:00	179100	179454	177970	178229	1847912	7144682	1
2021.04.27	12:00:00	178229	178236	176228	176553	1725420	7150570	1
2021.04.27	16:00:00	176560	177003	175940	175999	491107	2074460	1
2021.04.28	08:00:00	176605	178502	176479	178428	1610373	5963751	1
2021.04.28	12:00:00	178428	179572	178332	179462	1524767	6070581	1
2021.04.28	16:00:00	179462	180119	179181	180074	548786	2324567	1
2021.04.29	08:00:00	179698	180207	178022	178199	1965773	7484690	1
2021.04.29	12:00:00	178199	178317	177298	178170	1586941	6841664	1
2021.04.29	16:00:00	178177	178199	177431	177572	560132	2325503	1
2021.04.30	08:00:00	177232	177867	176221	176767	2064468	7729676	1
2021.04.30	12:00:00	176767	177978	176464	177047	1948729	7903830	1
2021.04.30	16:00:00	177055	177084	175564	175785	629427	2569872	1
2021.05.03	08:00:00	176885	177675	175888	177143	1997697	7162344	1
2021.05.03	12:00:00	177151	177195	175431	176988	1663919	6795265	1
2021.05.03	16:00:00	176988	177011	176088	176479	538115	2193950	1
2021.05.04	08:00:00	176088	176737	174633	174759	2184046	8099195	1
2021.05.04	12:00:00	174751	175778	174242	174382	1878517	7559077	1
2021.05.04	16:00:00	174382	174515	174102	174493	447700	1867372	1
2021.05.05	08:00:00	175261	177114	174921	176915	2035884	7445116	1
2021.05.05	12:00:00	176907	177372	176819	177143	1231050	5450738	1
2021.05.05	16:00:00	177143	177483	176619	177247	549267	2322987	1
2021.05.06	08:00:00	177217	177645	176228	176811	2110035	7774809	1
2021.05.06	12:00:00	176804	177350	176176	176686	1743634	6995959	1
2021.05.06	16:00:00	176686	177800	176678	177741	481038	1970197	1
2021.05.07	08:00:00	178111	179410	177741	179277	1703332	6152673	1
2021.05.07	12:00:00	179270	179809	178613	179786	1145880	4853158	1
2021.05.07	16:00:00	179794	181174	179749	180731	597176	2589956	1
2021.05.10	08:00:00	180569	181676	180318	180598	1820113	6548753	1
2021.05.10	12:00:00	180598	181263	180200	180790	1568431	6393043	1
2021.05.10	16:00:00	180798	180849	180288	180429	462681	1833045	1
2021.05.11	08:00:00	179085	180141	177867	179971	2243440	8335122	1
2021.05.11	12:00:00	179971	181300	179801	181115	1720808	7279367	1
2021.05.11	16:00:00	181115	181979	181027	181551	510725	2190532	1
2021.05.12	08:00:00	181248	181455	178775	178827	2292458	8066972	1
2021.05.12	12:00:00	178834	179004	177675	177845	1850993	7527672	1
2021.05.12	16:00:00	177845	177860	176664	177033	656236	2868466	1
2021.05.13	08:00:00	177343	179506	176929	178864	2071831	7611001	1
2021.05.13	12:00:00	178864	179727	177225	179055	2013377	8227079	1
2021.05.13	16:00:00	179048	179284	178140	178613	494565	2009910	1
2021.05.14	08:00:00	179417	180835	179417	180015	1912336	7232426	1
2021.05.14	12:00:00	180023	180576	178930	180451	1819232	7319816	1
2021.05.14	16:00:00	180458	180495	179838	179927	497659	2052527	1
2021.05.17	08:00:00	179299	181189	179151	180990	1846655	6426083	1
2021.05.17	12:00:00	180990	182031	180192	181957	1512726	5577937	1
2021.05.17	16:00:00	181964	182156	181551	181625	414427	1622442	1
2021.05.18	08:00:00	182422	182614	181182	181521	2094686	7811881	1
2021.05.18	12:00:00	181514	182850	181270	182200	1731040	7186868	1
2021.05.18	16:00:00	182200	182717	181462	181462	602888	2587021	1
2021.05.19	08:00:00	180067	181529	179676	180909	2197222	8132200	1
2021.05.19	12:00:00	180909	182341	180133	180436	1953882	7538908	1
