<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	179801	179343	179713	26310	70200	1
2021.04.19	09:03:00	179720	179875	179705	179875	27367	74366	1
2021.04.19	09:06:00	179875	180023	179809	179890	33081	102980	1
2021.04.19	09:09:00	179882	179919	179624	179742	27856	90573	1
2021.04.19	09:12:00	179749	179764	179631	179661	15299	50929	1
2021.04.19	09:15:00	179661	179690	179565	179631	22479	73505	1
2021.04.19	09:18:00	179639	179653	179528	179639	20299	64468	1
2021.04.19	09:21:00	179639	179653	179565	179624	13596	43849	1
2021.04.19	09:24:00	179617	179720	179609	179705	21032	69011	1
2021.04.19	09:27:00	179713	179742	179639	179646	16588	54363	1
2021.04.19	09:30:00	179646	179653	179402	179484	42058	133918	1
2021.04.19	09:33:00	179484	179506	179425	179469	13376	45668	1
2021.04.19	09:36:00	179469	179484	179366	179410	20282	69650	1
2021.04.19	09:39:00	179417	179580	179373	179462	27807	102146	1
2021.04.19	09:42:00	179454	179535	179432	179469	12838	47085	1
2021.04.19	09:45:00	179469	179513	179439	179469	11166	38660	1
2021.04.19	09:48:00	179469	179558	179469	179484	12876	48314	1
2021.04.19	09:51:00	179484	179521	179454	179491	8033	28621	1
2021.04.19	09:54:00	179491	179528	179425	179498	13434	48818	1
2021.04.19	09:57:00	179491	179498	179439	179439	6611	22650	1
2021.04.19	10:00:00	179447	179469	179255	179343	53851	189534	1
2021.04.19	10:03:00	179351	179351	179262	179277	22550	77230	1
2021.04.19	10:06:00	179284	179307	179107	179166	42325	146978	1
2021.04.19	10:09:00	179174	179262	179144	179181	29867	108541	1
2021.04.19	10:12:00	179181	179314	179166	179203	25096	93604	1
2021.04.19	10:15:00	179203	179277	179070	179262	36986	125950	1
2021.04.19	10:18:00	179255	179454	179225	179366	46118	159914	1
2021.04.19	10:21:00	179373	179410	179159	179211	31759	110926	1
2021.04.19	10:24:00	179211	179299	179159	179299	23316	79172	1
2021.04.19	10:27:00	179292	179321	179048	179070	33038	120385	1
2021.04.19	10:30:00	179078	179211	178982	179211	53508	202672	1
2021.04.19	10:33:00	179211	179506	179115	179484	54729	197196	1
